iter	Passed	Remaining
0	148	147928
1	150	75057
2	152	50750
3	155	38750
4	159	31807
5	163	27104
6	166	23594
7	169	20963
8	174	19175
9	175	17419
10	178	16052
11	180	14890
12	183	13934
13	185	13066
14	187	12308
15	189	11624
16	190	11034
17	192	10484
18	193	10014
19	195	9580
20	197	9192
21	198	8836
22	200	8502
23	201	8210
24	203	7940
25	205	7716
26	207	7486
27	209	7272
28	211	7086
29	213	6897
30	215	6724
31	216	6544
32	217	6385
33	219	6223
34	220	6066
35	221	5923
36	223	5808
37	224	5695
38	227	5603
39	230	5534
40	232	5428
41	233	5324
42	234	5223
43	236	5133
44	238	5051
45	239	4962
46	240	4875
47	241	4790
48	244	4741
49	245	4669
50	247	4597
51	247	4518
52	248	4447
53	250	4392
54	252	4334
55	253	4271
56	254	4208
57	255	4148
58	256	4088
59	259	4062
60	260	4013
61	261	3961
62	262	3907
63	263	3858
64	264	3810
65	266	3765
66	267	3725
67	268	3677
68	269	3630
69	269	3585
70	270	3541
71	271	3504
72	273	3478
73	275	3442
74	276	3408
75	277	3373
76	278	3341
77	279	3308
78	280	3274
79	281	3238
80	282	3203
81	283	3169
82	283	3134
83	284	3102
84	285	3072
85	286	3043
86	288	3027
87	289	3001
88	290	2978
89	291	2952
90	293	2929
91	294	2905
92	295	2882
93	296	2856
94	297	2829
95	297	2804
96	298	2779
97	299	2753
98	299	2729
99	300	2706
100	303	2702
101	304	2684
102	305	2664
103	306	2644
104	307	2624
105	308	2606
106	309	2586
107	310	2566
108	311	2546
109	312	2526
110	312	2506
111	313	2487
112	314	2468
113	315	2449
114	317	2440
115	319	2432
116	320	2415
117	321	2399
118	321	2383
119	322	2368
120	323	2353
121	324	2335
122	325	2320
123	326	2304
124	326	2288
125	327	2272
126	328	2256
127	329	2242
128	330	2228
129	331	2218
130	332	2208
131	334	2202
132	335	2190
133	336	2177
134	338	2165
135	338	2153
136	339	2140
137	340	2127
138	341	2115
139	342	2102
140	342	2088
141	343	2074
142	344	2061
143	344	2049
144	346	2044
145	361	2114
146	363	2108
147	364	2100
148	366	2091
149	367	2082
150	368	2071
151	369	2059
152	369	2047
153	370	2036
154	371	2024
155	372	2013
156	372	2002
157	373	1990
158	374	1980
159	375	1972
160	376	1960
161	377	1954
162	379	1946
163	380	1937
164	381	1929
165	382	1920
166	383	1912
167	384	1903
168	385	1893
169	386	1884
170	387	1876
171	388	1870
172	389	1863
173	392	1860
174	393	1855
175	394	1848
176	395	1840
177	396	1832
178	397	1823
179	398	1814
180	399	1806
181	399	1797
182	400	1789
183	401	1781
184	402	1773
185	403	1764
186	404	1756
187	404	1748
188	405	1740
189	407	1735
190	408	1730
191	409	1724
192	410	1717
193	411	1709
194	412	1701
195	413	1694
196	413	1686
197	414	1680
198	415	1672
199	416	1665
200	417	1658
201	417	1650
202	418	1644
203	419	1637
204	420	1631
205	422	1626
206	423	1622
207	424	1616
208	425	1610
209	426	1604
210	427	1598
211	428	1591
212	429	1585
213	430	1579
214	430	1573
215	431	1566
216	432	1560
217	433	1554
218	434	1548
219	434	1542
220	437	1540
221	438	1536
222	439	1531
223	440	1525
224	441	1519
225	442	1513
226	442	1507
227	443	1501
228	444	1495
229	445	1490
230	445	1484
231	446	1479
232	447	1474
233	448	1468
234	449	1463
235	450	1458
236	451	1455
237	452	1450
238	453	1445
239	455	1442
240	456	1437
241	457	1432
242	458	1427
243	459	1423
244	460	1419
245	461	1414
246	462	1409
247	463	1404
248	464	1399
249	466	1398
250	467	1394
251	468	1391
252	469	1387
253	470	1383
254	472	1379
255	473	1374
256	474	1371
257	475	1366
258	476	1362
259	476	1357
260	477	1352
261	478	1348
262	481	1347
263	482	1344
264	483	1340
265	484	1336
266	485	1332
267	486	1327
268	486	1322
269	487	1318
270	488	1313
271	489	1308
272	490	1304
273	490	1300
274	491	1295
275	492	1292
276	493	1288
277	494	1285
278	496	1281
279	496	1277
280	498	1274
281	499	1270
282	499	1266
283	500	1262
284	501	1257
285	502	1253
286	502	1249
287	503	1244
288	504	1240
289	505	1236
290	506	1233
291	506	1228
292	507	1225
293	508	1220
294	513	1227
295	515	1225
296	516	1222
297	517	1220
298	519	1218
299	521	1216
300	522	1213
301	523	1210
302	524	1207
303	526	1204
304	527	1202
305	528	1198
306	529	1195
307	531	1193
308	532	1190
309	533	1188
310	535	1186
311	536	1183
312	537	1179
313	538	1176
314	539	1173
315	540	1170
316	541	1167
317	542	1163
318	544	1161
319	545	1158
320	546	1156
321	547	1153
322	548	1150
323	550	1148
324	551	1146
325	553	1143
326	554	1140
327	555	1137
328	556	1134
329	557	1131
330	558	1128
331	559	1125
332	560	1122
333	561	1118
334	562	1115
335	563	1112
336	564	1110
337	566	1108
338	567	1106
339	568	1103
340	569	1101
341	570	1098
342	571	1095
343	572	1092
344	573	1089
345	574	1086
346	575	1083
347	576	1080
348	577	1077
349	578	1075
350	580	1072
351	581	1069
352	581	1066
353	582	1063
354	583	1060
355	584	1057
356	585	1054
357	586	1051
358	587	1048
359	588	1045
360	588	1042
361	589	1039
362	590	1036
363	591	1033
364	592	1030
365	594	1028
366	594	1026
367	596	1023
368	597	1020
369	597	1018
370	598	1015
371	599	1012
372	600	1009
373	601	1006
374	602	1003
375	602	1000
376	603	997
377	604	994
378	605	991
379	606	988
380	607	986
381	608	984
382	609	982
383	611	980
384	612	978
385	613	975
386	614	972
387	615	970
388	616	967
389	617	965
390	617	962
391	618	959
392	619	956
393	620	953
394	620	950
395	621	948
396	623	947
397	624	945
398	625	942
399	626	940
400	627	937
401	628	935
402	629	933
403	630	930
404	631	928
405	632	925
406	633	922
407	633	919
408	634	916
409	635	914
410	636	911
411	638	911
412	639	909
413	640	907
414	641	904
415	642	902
416	643	899
417	644	897
418	645	894
419	645	891
420	646	889
421	647	887
422	648	884
423	649	882
424	650	879
425	650	876
426	651	874
427	653	873
428	654	870
429	655	868
430	656	866
431	657	864
432	658	862
433	659	860
434	660	858
435	661	856
436	662	853
437	663	851
438	664	849
439	665	846
440	667	846
441	668	844
442	671	844
443	672	842
444	673	840
445	674	838
446	676	836
447	677	834
448	678	832
449	679	829
450	679	827
451	680	824
452	683	824
453	684	822
454	685	820
455	686	818
456	686	816
457	687	814
458	688	811
459	689	809
460	690	807
461	691	805
462	692	802
463	692	800
464	693	797
465	694	795
466	694	793
467	696	792
468	699	792
469	701	791
470	702	788
471	703	786
472	704	784
473	705	782
474	705	780
475	706	777
476	707	775
477	708	773
478	708	771
479	709	768
480	710	766
481	713	766
482	714	764
483	715	762
484	716	760
485	717	758
486	717	756
487	718	754
488	719	752
489	720	750
490	721	747
491	721	745
492	722	743
493	723	741
494	724	738
495	726	737
496	728	737
497	729	735
498	730	733
499	731	731
500	732	729
501	733	727
502	734	725
503	735	723
504	736	721
505	736	719
506	737	717
507	738	715
508	739	713
509	741	712
510	742	710
511	743	708
512	744	706
513	745	705
514	746	703
515	747	701
516	748	699
517	749	697
518	749	694
519	750	692
520	751	690
521	752	688
522	752	686
523	753	684
524	755	683
525	756	682
526	757	680
527	758	678
528	759	676
529	760	674
530	761	672
531	761	670
532	762	668
533	763	666
534	764	664
535	765	662
536	765	660
537	766	658
538	767	656
539	768	654
540	770	654
541	772	652
